mlx/éditions;fr1_1_1766;fr1_2_1797Mo;fr2_1_1773;fr2_2_1782;fr2_3_1784;fr2_4_1794;Fr2_7_1797Ch;ang1_1_1767;ang1_2_1769;ang1_3_1778;ang1_4_1785;ang1_5_1788;it1_1764;it3_1765;it5_1766_1;it6_1766_2;it7_1774;it8_1780;it9_1781;it10_1786
T_crime;S;S;9;9;9;9;8;8;8;9;8;7;R : T_offense;R : T_offense;R : T_offense;R : T_offense;S;S;S;S
T_crime;4;4;10;10;10;10;9;9;9;10;9;8;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;S;S;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;10;10;10;10;9;R : T_offense;R : T_offense;R : T_offense;R : T_offense;S;S;S;S
T_crime;S;S;11;11;11;11;10;11;11;12;11;10;R : T_offense;R : T_offense;R : T_offense;R : T_offense;S;S;S;S
T_crime;6;6;S;S;S;S;S;14;14;15;14;13;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;18;17;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I;I
T_crime;10_R : autres;10_R : autres;16_R : autres;16_R : autres;16_R : autres;16_R : autres;15_R : autres;19;19;20;19;18;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;11;11;18;18;18;18;17;20;20;21;20;19;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;27;27;28;27;26;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;S;S;S;S;S;S;S;27;27;28;27;26;S;S;S;S;S;S;S;S
T_crime;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;28;28;29;28;27;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;I;I;I;I;I;I;I;32;32;33;32;31;I;I;I;I;I;I;I;I
T_crime;26;25;30;37;30;30;29;38;38;39;38;37;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;27;26;31;38;31;31;30;39;39;40;39;38;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense;R : T_offense
T_crime;27;26;31;38;31;31;30;39;39;40;39;38;I;I;I;I;S;S;S;S
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Légende;S = suppression;;R = remplacement;;I = inexistant;;E = équivalent;;;;;;;;;;;;;
